업종명 ,영문명,합계,서울,인천,경기,강원,대전,충북,충남,세종,광주,전북,전남,대구,경북,부산,울산,경남,제주
가구점,Furniture Shop,887,82,41,286,22,20,29,41,7,28,33,17,50,54,64,13,66,34
가전제품수리점,Home Appliance Repair Shop,4185,582,313,1166,167,181,114,178,19,140,172,167,218,144,239,89,245,51
가전제품판매점,Electrical Appliances Shop,992,141,62,256,39,26,29,48,9,36,44,31,36,63,53,31,57,31
간이주점,Pub,3897,1004,362,881,142,20,138,206,8,60,110,86,76,103,218,53,396,34
간판광고물업,Manufacture of Signs and Advertisements,648,104,26,191,27,15,20,30,5,19,25,16,39,31,41,18,36,5
감정평가사,Appraiser,123,25,6,32,1,4,3,5,5,4,8,2,6,2,5,4,11,
건강보조식품가게,Health Additive Food Shop,2257,386,104,522,72,79,62,133,13,62,138,66,112,122,154,41,168,23
건어물가게,Dried Fish Shop,1151,113,61,149,83,19,25,89,7,28,56,157,19,98,72,24,138,13
건축사,Architect,801,283,24,175,18,14,28,21,9,19,24,18,31,29,32,13,40,23
결혼상담소,Marriage Brokerage Business,347,89,16,63,8,12,10,24,1,11,8,15,18,18,25,8,19,2
곡물가게,Grain Shop,573,68,21,113,32,15,31,37,3,13,43,58,33,45,19,4,29,9
공인노무사,Certified Public Labor Attorney,147,77,5,25,1,8,2,4,1,,1,,4,2,7,4,3,3
공인회계사,Certified Public Accountant,145,82,4,21,3,2,1,3,3,2,1,,3,3,6,3,2,6
과일가게,Fruit Shop,2262,229,97,376,55,69,111,113,13,95,96,95,64,260,124,31,204,230
교습소ㆍ공부방,Teaching Place for Extracurricular Lessons,7273,1226,460,1933,173,291,159,275,53,189,185,161,508,404,495,150,466,145
교습학원,Private Teaching Institute,9162,1701,473,2805,176,178,184,289,113,361,302,234,422,421,541,250,586,126
구내식당,Cafeteria,1748,237,153,576,29,42,73,82,3,27,29,34,91,84,100,33,139,16
기술및직업훈련학원,Technical and Vocational Training Institute,3072,745,138,819,86,81,58,107,48,114,64,83,164,81,246,66,123,49
기술사,Professional Engineer,129,38,5,28,,4,2,6,1,4,1,6,4,4,6,1,17,2
기타 일반의원,Other General Clinic,299,100,17,58,3,13,6,8,3,8,12,11,14,7,18,4,13,4
기타외국식전문점,Other Foreign Food Restaurants,7197,2182,299,1566,194,159,142,245,66,121,187,131,337,240,545,219,301,263
기타음식점,Other Restaurants,5901,1092,218,1477,213,189,114,197,38,267,160,196,391,185,427,89,492,156
꽃가게,Flower Shop,3091,647,129,807,75,78,96,122,26,104,97,109,171,137,178,67,211,37
내과ㆍ소아과 의원,Internal Medicine·Pediatrics Clinic,672,133,35,160,22,15,24,24,7,27,24,27,29,34,53,14,36,8
노래방,Singing Room,6207,1091,552,1629,160,346,251,260,45,247,197,150,290,272,242,115,309,51
담배가게,Tobacco Shop,385,85,28,84,10,11,17,14,2,8,10,9,14,27,27,7,30,2
당구장,Billiard Hall,5295,860,396,1342,182,181,201,274,23,180,168,190,197,233,273,155,332,108
독서실,Reading Room,1863,581,78,489,36,44,34,45,8,93,50,29,74,60,92,48,79,23
동물병원,Animal Hospital,290,65,14,76,10,5,6,14,3,4,9,10,7,23,14,2,21,7
목욕탕,Public Bath,548,77,22,98,27,10,15,28,4,20,10,26,21,42,73,9,61,5
문구점,Stationery Store,994,140,74,277,37,23,35,40,13,29,23,31,35,54,60,20,80,23
미용실,Hair Shop,11987,2147,758,3102,300,366,382,430,88,441,440,338,651,590,761,278,770,145
법무사,Judicial Scrivener,356,122,15,61,2,10,11,6,3,22,10,15,14,15,22,6,14,8
변리사,Patent Attorney,111,73,1,13,,13,1,2,,1,,,1,2,2,1,,1
변호사,Lawyer,1058,619,28,129,8,29,13,23,7,22,20,13,23,12,52,17,33,10
부동산중개업,Real Estate Brokerage,23910,5911,1448,7226,479,524,511,659,301,738,445,404,1158,726,1546,349,1098,387
분식점,Snack Bar,12145,2158,615,3049,370,420,588,602,69,444,426,295,511,568,859,158,820,193
사진촬영업,Photography Service,2149,760,107,445,48,49,38,56,16,61,48,42,89,60,142,37,83,68
산부인과 의원,Obsterics and Gynecology Clinic,103,41,6,18,1,2,2,3,1,,1,1,4,4,10,,7,2
생선가게,Fish Shop,1923,197,130,304,61,33,38,130,11,81,88,242,51,143,136,50,161,67
서점,Bookstore,1105,207,61,310,24,42,33,49,25,32,42,25,47,34,52,25,67,30
성형외과 의원,Plastic Surgery Clinic,133,81,2,10,,6,2,2,1,3,2,3,4,1,12,1,1,2
세무사,Tax Accountant,885,350,40,218,5,19,14,17,5,23,16,5,36,22,64,4,38,9
세탁소,Laundry,2685,469,168,689,101,102,92,125,16,102,118,78,111,117,129,56,149,63
슈퍼마켓,Supermarket,5771,664,408,1746,210,143,186,290,43,192,185,213,264,311,289,164,368,95
스포츠교육기관,Sports Training Institute,3692,722,260,1080,82,92,134,131,46,132,108,77,149,140,241,62,186,50
스포츠시설운영업,Sports Facility Operation,2955,858,166,875,56,65,61,82,12,80,88,59,92,79,147,39,139,57
스포츠용품점,Sports Goods Shop,2075,241,82,494,104,32,96,157,8,70,106,105,82,139,91,30,160,78
시계ㆍ귀금속점,Watch·Jewerly Shop,571,129,17,114,9,11,12,30,4,17,32,17,36,22,50,10,50,11
식료품가게,Grocery Store,6423,674,300,1480,338,190,270,373,22,198,458,340,228,395,421,107,505,124
신경정신과 의원,Neuropsychiatric Clinic,171,54,6,43,3,5,2,2,2,2,7,1,13,6,13,,9,3
신발가게,Footwear Shop,817,154,43,180,20,20,38,42,3,32,45,24,37,38,54,11,61,15
실내스크린골프점,Indoor Screen Golf Range,1152,143,63,328,32,33,41,61,9,38,44,34,59,56,62,36,90,23
실내장식가게,Interior Decorating Works,12261,2439,868,3714,222,428,272,375,77,507,38,307,511,427,883,216,702,275
실외골프연습장,Outdoor Golf Practice Range,153,13,7,40,6,4,9,4,,4,6,7,4,12,18,3,10,6
안경점,Eyeglasses Shop,762,171,49,191,16,25,27,18,14,20,17,24,40,29,43,19,43,16
안과 의원,Ophthalmic Clinic,73,17,1,16,2,1,,4,,2,7,4,4,1,7,1,5,1
애완용품점,Pet Supplies Shop,2213,370,185,719,45,68,55,84,9,70,53,36,80,101,158,34,123,23
약국,Pharmacy,2035,489,101,479,49,56,56,99,20,47,57,61,121,77,157,33,113,20
여관ㆍ모텔,Inn·Motel,3223,304,163,592,197,127,138,233,7,103,136,136,105,291,251,81,325,34
여행사,Travel Agency,1772,686,54,237,40,38,36,48,11,49,49,61,55,69,132,35,60,112
예술학원,Art Institute,5310,1029,271,1643,99,164,122,171,79,168,204,101,284,228,289,116,292,50
예식장,Wedding Chapel,122,14,5,23,1,1,6,9,,5,10,11,4,8,7,4,13,1
옷가게,Clothing Shop,16939,2945,867,3781,539,612,571,662,96,746,658,609,977,913,1177,344,1146,296
의료용품가게,Medical Supplies Shop,1269,283,76,294,32,50,20,65,9,59,46,35,74,42,67,19,84,14
이륜자동차판매점,Motorcycle Shop,196,38,10,38,9,2,3,8,3,8,8,9,8,6,23,4,16,3
이발소,Barber Shop,732,156,36,150,35,24,22,24,6,19,26,30,48,37,42,24,50,3
이비인후과 의원,Ear-Nose-Throat Clinic,125,29,4,33,2,4,4,3,,3,6,1,6,6,13,4,6,1
일반외과 의원,General Surgery Clinic,358,93,20,98,8,5,10,10,6,9,5,10,19,12,23,4,16,10
일식전문점,Japanese Food Restaurant,4904,1491,245,1088,171,129,142,176,40,99,130,79,230,167,319,77,179,142
자동차수리점,Car Repair Shop,5411,555,341,1523,145,172,224,287,47,187,175,184,299,311,294,161,405,101
자전거판매점,Bicycle Shop,196,39,14,47,4,5,7,9,,6,7,8,7,12,10,5,15,1
장난감가게,Toy Shop,560,105,29,191,16,16,11,20,8,14,10,14,23,24,32,8,35,4
정육점,Butcher Shop,4024,506,279,1014,102,155,164,158,28,185,202,112,254,220,202,136,260,47
제과점,Bakery,3631,765,182,881,120,105,116,159,37,88,129,96,196,176,203,59,216,103
종합병원,General Hospital,279,42,15,51,4,12,11,17,4,23,11,15,9,10,19,7,27,2
주유소,Gas Station,1264,44,42,341,70,29,96,106,7,36,86,65,32,130,35,19,105,21
주차장운영업,Parking Lot Operation,1532,251,59,245,23,37,30,26,9,52,13,14,80,47,454,30,148,14
중고차판매점,Used Car Store,836,60,85,274,17,20,25,41,,36,44,17,83,28,30,12,56,8
중식전문점,Chinese Food Restaurant,5107,1054,272,1322,207,131,173,282,40,101,155,124,224,296,245,107,293,81
채소가게,Vegetable Shop,2135,299,119,475,146,54,90,131,14,60,110,108,76,142,116,21,143,31
철물점,Hardware Shop,428,59,23,107,19,12,13,22,6,19,24,21,19,16,20,11,32,5
치과병원ㆍ의원,Dental Hospital·Clinic,1081,271,49,286,17,31,33,51,9,42,32,20,58,37,66,18,52,9
침구ㆍ커튼가게,Bedding and Curtain Shop,970,139,34,234,31,36,37,55,11,24,42,46,66,60,52,25,57,21
커피음료점,Coffee and Beverage Shop,18819,3581,960,4107,576,691,679,847,123,598,793,613,823,1258,1077,390,1268,435
컴퓨터판매점,Computer Shop,731,176,39,198,17,24,20,18,8,35,25,21,18,29,40,14,41,8
통신판매업,Mail Order Business,87147,24694,5679,24007,1300,2431,1805,2302,414,2375,1831,1535,4372,2813,5904,1478,3616,591
패스트푸드점,Fast Food Store,9389,1372,495,2126,432,232,398,520,105,270,393,327,383,556,601,227,783,169
펜션ㆍ게스트하우스,Pension·Guest House,3291,194,102,404,534,3,92,303,1,5,100,164,7,280,45,23,360,674
편의점,Convenience Store,7074,1276,452,1795,287,193,240,393,47,173,199,232,266,288,416,166,449,202
피부관리업,Skin Beauty Shop,9435,1836,628,2216,224,284,251,339,62,509,288,386,414,339,664,206,636,153
피부ㆍ비뇨기과 의원,Dermatology·Urology Clinic,324,139,16,69,2,8,5,5,1,14,3,8,10,5,22,2,8,7
한방병원ㆍ한의원,Oriental Medical Hospital·Clinic,1123,290,53,279,26,33,30,38,12,38,38,42,39,40,86,14,45,20
한식전문점,Korean Food Restaurant,84317,10614,4329,18556,3720,2706,3284,4182,612,2365,3138,3329,4432,5975,5326,2592,7159,1998
헬스클럽,Fitness Center,1526,376,102,371,28,48,47,67,9,26,47,34,79,62,103,23,79,25
호프전문점,Beer Bar,9337,1593,531,1954,398,307,564,535,59,782,499,668,158,252,425,79,367,166
화장품가게,Cosmetics Shop,7751,1277,309,1883,270,269,270,284,46,242,375,244,426,438,535,217,525,141
휴대폰가게,Mobile Phone Shop,3941,688,242,872,109,139,95,243,22,115,137,106,218,218,302,105,283,47
LPG 충전소,LPG Station,138,5,8,42,5,7,8,9,,4,5,8,5,19,2,2,8,1
pc방,PC Room,3154,501,197,816,115,78,90,144,8,129,147,97,153,180,165,92,185,57
